"Child","Alkollü içecekler","Female","19 ",
"Child","Alkollü içecekler","Male","24 ",
"Child","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Female","59 ",
"Child","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Male","69 ",
"Child","Kahve çay gibi içecekler","Female","41 ",
"Child","Kahve çay gibi içecekler","Male","51 ",
"Child","Vegan yiyecekleri","Female","47 ",
"Child","Vegan yiyecekleri","Male","51 ",
"Child","Yumurta ve yumurta ürünleri","Female","45 ",
"Child","Yumurta ve yumurta ürünleri","Male","55 ",
"Child","Balık ve deniz mahsülleri","Female","21 ",
"Child","Balık ve deniz mahsülleri","Male","22 ",
"Child","Meyve ve meyve ürünleri","Female","51 ",
"Child","Meyve ve meyve ürünleri","Male","59 ",
"Child","Meyve ve sebze suları","Female","54 ",
"Child","Meyve ve sebze suları","Male","63 ",
"Child","Tahıllar ve tahıl bazlı ürünler","Female","59 ",
"Child","Tahıllar ve tahıl bazlı ürünler","Male","69 ",
"Child","Baklagiller","Female","52 ",
"Child","Baklagiller","Male","68 ",
"Child","Katkı maddeli gıdalar","Female","4 ",
"Child","Katkı maddeli gıdalar","Male","5 ",
"Child","Et ve et ürünleri","Female","59 ",
"Child","Et ve et ürünleri","Male","67 ",
"Child","Süt ve süt ürünleri","Female","58 ",
"Child","Süt ve süt ürünleri","Male","67 ",
"Child","Diyet ve gıda takviye ürünleri","Male","1 ",
"Child","Baharat, soslar ve çeşni ürünleri","Female","58 ",
"Child","Baharat, soslar ve çeşni ürünleri","Male","67 ",
"Child","Nişastalı yiyecekler","Female","33 ",
"Child","Nişastalı yiyecekler","Male","46 ",
"Child","Şeker ve şekerli gıdalar","Female","56 ",
"Child","Şeker ve şekerli gıdalar","Male","65 ",
"Child","Sebze ve sebze ürünleri","Female","59 ",
"Child","Sebze ve sebze ürünleri","Male","67 ",
"Child","Su ve su bazlı içecekler","Female","58 ",
"Child","Su ve su bazlı içecekler","Male","69 ",
"Youth","Alkollü içecekler","Female","27 ",
"Youth","Alkollü içecekler","Male","24 ",
"Youth","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Female","113 ",
"Youth","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Male","116 ",
"Youth","Kahve çay gibi içecekler","Female","71 ",
"Youth","Kahve çay gibi içecekler","Male","64 ",
"Youth","Vegan yiyecekleri","Female","103 ",
"Youth","Vegan yiyecekleri","Male","100 ",
"Youth","Yumurta ve yumurta ürünleri","Female","84 ",
"Youth","Yumurta ve yumurta ürünleri","Male","80 ",
"Youth","Balık ve deniz mahsülleri","Female","24 ",
"Youth","Balık ve deniz mahsülleri","Male","30 ",
"Youth","Meyve ve meyve ürünleri","Female","93 ",
"Youth","Meyve ve meyve ürünleri","Male","92 ",
"Youth","Meyve ve sebze suları","Female","84 ",
"Youth","Meyve ve sebze suları","Male","90 ",
"Youth","Tahıllar ve tahıl bazlı ürünler","Female","119 ",
"Youth","Tahıllar ve tahıl bazlı ürünler","Male","118 ",
"Youth","Baklagiller","Female","105 ",
"Youth","Baklagiller","Male","105 ",
"Youth","Katkı maddeli gıdalar","Female","7 ",
"Youth","Katkı maddeli gıdalar","Male","6 ",
"Youth","Et ve et ürünleri","Female","112 ",
"Youth","Et ve et ürünleri","Male","115 ",
"Youth","Süt ve süt ürünleri","Female","115 ",
"Youth","Süt ve süt ürünleri","Male","117 ",
"Youth","Diyet ve gıda takviye ürünleri","Female","2 ",
"Youth","Diyet ve gıda takviye ürünleri","Male","2 ",
"Youth","Baharat, soslar ve çeşni ürünleri","Female","112 ",
"Youth","Baharat, soslar ve çeşni ürünleri","Male","115 ",
"Youth","Nişastalı yiyecekler","Female","62 ",
"Youth","Nişastalı yiyecekler","Male","59 ",
"Youth","Şeker ve şekerli gıdalar","Female","98 ",
"Youth","Şeker ve şekerli gıdalar","Male","92 ",
"Youth","Sebze ve sebze ürünleri","Female","108 ",
"Youth","Sebze ve sebze ürünleri","Male","108 ",
"Youth","Su ve su bazlı içecekler","Female","115 ",
"Youth","Su ve su bazlı içecekler","Male","116 ",
"Adult","Alkollü içecekler","Female","89 ",
"Adult","Alkollü içecekler","Male","55 ",
"Adult","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Female","164 ",
"Adult","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Male","99 ",
"Adult","Kahve çay gibi içecekler","Female","167 ",
"Adult","Kahve çay gibi içecekler","Male","115 ",
"Adult","Vegan yiyecekleri","Female","177 ",
"Adult","Vegan yiyecekleri","Male","113 ",
"Adult","Yumurta ve yumurta ürünleri","Female","28 ",
"Adult","Yumurta ve yumurta ürünleri","Male","17 ",
"Adult","Balık ve deniz mahsülleri","Female","39 ",
"Adult","Balık ve deniz mahsülleri","Male","25 ",
"Adult","Meyve ve meyve ürünleri","Female","161 ",
"Adult","Meyve ve meyve ürünleri","Male","102 ",
"Adult","Meyve ve sebze suları","Female","97 ",
"Adult","Meyve ve sebze suları","Male","59 ",
"Adult","Tahıllar ve tahıl bazlı ürünler","Female","187 ",
"Adult","Tahıllar ve tahıl bazlı ürünler","Male","119 ",
"Adult","Baklagiller","Female","51 ",
"Adult","Baklagiller","Male","29 ",
"Adult","Katkı maddeli gıdalar","Female","4 ",
"Adult","Katkı maddeli gıdalar","Male","4 ",
"Adult","Et ve et ürünleri","Female","153 ",
"Adult","Et ve et ürünleri","Male","97 ",
"Adult","Süt ve süt ürünleri","Female","178 ",
"Adult","Süt ve süt ürünleri","Male","117 ",
"Adult","Diyet ve gıda takviye ürünleri","Female","8 ",
"Adult","Diyet ve gıda takviye ürünleri","Male","10 ",
"Adult","Baharat, soslar ve çeşni ürünleri","Female","160 ",
"Adult","Baharat, soslar ve çeşni ürünleri","Male","108 ",
"Adult","Nişastalı yiyecekler","Female","33 ",
"Adult","Nişastalı yiyecekler","Male","29 ",
"Adult","Şeker ve şekerli gıdalar","Female","127 ",
"Adult","Şeker ve şekerli gıdalar","Male","96 ",
"Adult","Sebze ve sebze ürünleri","Female","149 ",
"Adult","Sebze ve sebze ürünleri","Male","96 ",
"Adult","Su ve su bazlı içecekler","Female","185 ",
"Adult","Su ve su bazlı içecekler","Male","117 ",
"Old","Alkollü içecekler","Female","28 ",
"Old","Alkollü içecekler","Male","20 ",
"Old","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Female","35 ",
"Old","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Male","25 ",
"Old","Kahve çay gibi içecekler","Female","40 ",
"Old","Kahve çay gibi içecekler","Male","27 ",
"Old","Vegan yiyecekleri","Female","37 ",
"Old","Vegan yiyecekleri","Male","24 ",
"Old","Yumurta ve yumurta ürünleri","Female","5 ",
"Old","Yumurta ve yumurta ürünleri","Male","3 ",
"Old","Balık ve deniz mahsülleri","Female","10 ",
"Old","Balık ve deniz mahsülleri","Male","11 ",
"Old","Meyve ve meyve ürünleri","Female","38 ",
"Old","Meyve ve meyve ürünleri","Male","23 ",
"Old","Meyve ve sebze suları","Female","15 ",
"Old","Meyve ve sebze suları","Male","13 ",
"Old","Tahıllar ve tahıl bazlı ürünler","Female","40 ",
"Old","Tahıllar ve tahıl bazlı ürünler","Male","27 ",
"Old","Baklagiller","Female","10 ",
"Old","Baklagiller","Male","3 ",
"Old","Katkı maddeli gıdalar","Male","2 ",
"Old","Et ve et ürünleri","Female","36 ",
"Old","Et ve et ürünleri","Male","23 ",
"Old","Süt ve süt ürünleri","Female","39 ",
"Old","Süt ve süt ürünleri","Male","27 ",
"Old","Diyet ve gıda takviye ürünleri","Male","1 ",
"Old","Baharat, soslar ve çeşni ürünleri","Female","37 ",
"Old","Baharat, soslar ve çeşni ürünleri","Male","20 ",
"Old","Nişastalı yiyecekler","Female","8 ",
"Old","Nişastalı yiyecekler","Male","9 ",
"Old","Şeker ve şekerli gıdalar","Female","28 ",
"Old","Şeker ve şekerli gıdalar","Male","15 ",
"Old","Sebze ve sebze ürünleri","Female","27 ",
"Old","Sebze ve sebze ürünleri","Male","20 ",
"Old","Su ve su bazlı içecekler","Female","40 ",
"Old","Su ve su bazlı içecekler","Male","26 ",
"Old","Alkollü içecekler","Female","7 ",
"Old","Alkollü içecekler","Male","5 ",
"Old","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Female","13 ",
"Old","Hayvansal,bitkisel, katı ve sıvı yağlar bulunan yiyecekler","Male","10 ",
"Old","Kahve çay gibi içecekler","Female","13 ",
"Old","Kahve çay gibi içecekler","Male","12 ",
"Old","Vegan yiyecekleri","Female","13 ",
"Old","Vegan yiyecekleri","Male","12 ",
"Old","Yumurta ve yumurta ürünleri","Female","1 ",
"Old","Yumurta ve yumurta ürünleri","Male","5 ",
"Old","Balık ve deniz mahsülleri","Female","3 ",
"Old","Balık ve deniz mahsülleri","Male","3 ",
"Old","Meyve ve meyve ürünleri","Female","13 ",
"Old","Meyve ve meyve ürünleri","Male","11 ",
"Old","Meyve ve sebze suları","Female","3 ",
"Old","Meyve ve sebze suları","Male","5 ",
"Old","Tahıllar ve tahıl bazlı ürünler","Female","13 ",
"Old","Tahıllar ve tahıl bazlı ürünler","Male","12 ",
"Old","Baklagiller","Female","3 ",
"Old","Baklagiller","Male","2 ",
"Old","Katkı maddeli gıdalar","Female","1 ",
"Old","Et ve et ürünleri","Female","9 ",
"Old","Et ve et ürünleri","Male","11 ",
